rectangle_coordinates,buildings_num,district_num
"[[35.33766877474945, -15.192823391970405], [35.346987891917145, -15.192823391970405], [35.346987891917145, -15.201816608029594], [35.33766877474945, -15.201816608029594]]",344,machinga_10
"[[35.42532300231222, -15.000088391970406], [35.434633664354386, -15.000088391970406], [35.434633664354386, -15.009081608029595], [35.42532300231222, -15.009081608029595]]",285,machinga_11
"[[35.23337843224872, -15.208318391970407], [35.24269823441788, -15.208318391970407], [35.24269823441788, -15.217311608029595], [35.23337843224872, -15.217311608029595]]",138,machinga_12
"[[35.2402426982256, -14.467836725303705], [35.2495306351078, -14.467836725303705], [35.2495306351078, -14.476829941362894], [35.2402426982256, -14.476829941362894]]",1908,mangochi_1
"[[35.2026573965866, -14.159955058637106], [35.2119326034134, -14.159955058637106], [35.2119326034134, -14.168948274696294], [35.2026573965866, -14.168948274696294]]",675,mangochi_2
"[[34.85420935628005, -14.468248391970405], [34.86349731038655, -14.468248391970405], [34.86349731038655, -14.477241608029594], [34.85420935628005, -14.477241608029594]]",64,mangochi_3
"[[35.591651583496244, -14.361350058637106], [35.600935083170356, -14.361350058637106], [35.600935083170356, -14.370343274696294], [35.591651583496244, -14.370343274696294]]",1239,mangochi_4
"[[35.396664157760725, -14.317535058637105], [35.40594584223928, -14.317535058637105], [35.40594584223928, -14.326528274696294], [35.396664157760725, -14.326528274696294]]",536,mangochi_5
"[[35.476697915853876, -14.296978391970406], [35.48597875081272, -14.296978391970406], [35.48597875081272, -14.305971608029594], [35.476697915853876, -14.305971608029594]]",275,mangochi_6
"[[34.97193203598113, -14.657451725303705], [34.98122796401886, -14.657451725303705], [34.98122796401886, -14.666444941362894], [34.97193203598113, -14.666444941362894]]",603,mangochi_7
"[[35.17284507405255, -14.028210058637105], [35.18211492594745, -14.028210058637105], [35.18211492594745, -14.037203274696294], [35.17284507405255, -14.037203274696294]]",315,mangochi_8
"[[35.51973486187285, -14.363998391970405], [35.529018471460546, -14.363998391970405], [35.529018471460546, -14.372991608029594], [35.51973486187285, -14.372991608029594]]",624,mangochi_9
"[[35.157168416002854, -14.353355058637106], [35.16645158399715, -14.353355058637106], [35.16645158399715, -14.362348274696295], [35.157168416002854, -14.362348274696295]]",667,mangochi_10
"[[34.93260091057648, -14.151108391970405], [34.94187575609011, -14.151108391970405], [34.94187575609011, -14.160101608029594], [34.93260091057648, -14.160101608029594]]",1279,mangochi_11
"[[35.180751329508276, -14.373585058637106], [35.19003533715833, -14.373585058637106], [35.19003533715833, -14.382578274696295], [35.180751329508276, -14.382578274696295]]",1213,mangochi_12
"[[35.17827398053331, -14.486196725303707], [35.18756268613328, -14.486196725303707], [35.18756268613328, -14.495189941362895], [35.17827398053331, -14.495189941362895]]",1109,mangochi_13
"[[35.13590797346183, -14.454673391970406], [35.14519535987157, -14.454673391970406], [35.14519535987157, -14.463666608029595], [35.13590797346183, -14.463666608029595]]",366,mangochi_14
"[[34.94653876049874, -14.733035058637105], [34.95583790616786, -14.733035058637105], [34.95583790616786, -14.742028274696294], [34.94653876049874, -14.742028274696294]]",299,mangochi_15
"[[32.97231907419744, -13.828803391970405], [32.98158092580256, -13.828803391970405], [32.98158092580256, -13.837796608029594], [32.97231907419744, -13.837796608029594]]",221,mchinji_1
"[[32.96353860172726, -13.684228391970406], [32.972794731606136, -13.684228391970406], [32.972794731606136, -13.693221608029594], [32.96353860172726, -13.693221608029594]]",391,mchinji_2
"[[33.11670908109576, -13.744431725303706], [33.125967585570834, -13.744431725303706], [33.125967585570834, -13.753424941362894], [33.11670908109576, -13.753424941362894]]",280,mchinji_3
"[[33.13784218418904, -13.923411725303705], [33.147107815810955, -13.923411725303705], [33.147107815810955, -13.932404941362893], [33.13784218418904, -13.932404941362893]]",489,mchinji_4
"[[32.81292213863451, -13.673876725303705], [32.82217786136548, -13.673876725303705], [32.82217786136548, -13.682869941362894], [32.81292213863451, -13.682869941362894]]",999,mchinji_5
"[[33.0168316649441, -13.949280058637106], [33.0260983350559, -13.949280058637106], [33.0260983350559, -13.958273274696294], [33.0168316649441, -13.958273274696294]]",654,mchinji_6
"[[32.96054082205242, -13.824723391970405], [32.969802511280974, -13.824723391970405], [32.969802511280974, -13.833716608029594], [32.96054082205242, -13.833716608029594]]",44,mchinji_7
"[[33.262433585818506, -14.019381725303706], [33.27170308084809, -14.019381725303706], [33.27170308084809, -14.028374941362895], [33.262433585818506, -14.028374941362895]]",134,mchinji_8
"[[35.44450320794007, -16.022811725303704], [35.453860125393334, -16.022811725303704], [35.453860125393334, -16.031804941362893], [35.44450320794007, -16.031804941362893]]",370,mulanje_1
"[[35.51801911820531, -16.125738391970405], [35.52738088179469, -16.125738391970405], [35.52738088179469, -16.134731608029593], [35.51801911820531, -16.134731608029593]]",314,mulanje_2
"[[35.40916445732764, -15.681210058637106], [35.41850554267236, -15.681210058637106], [35.41850554267236, -15.690203274696294], [35.40916445732764, -15.690203274696294]]",171,mulanje_3
"[[35.42034022500512, -16.078816725303707], [35.42969977499489, -16.078816725303707], [35.42969977499489, -16.087809941362895], [35.42034022500512, -16.087809941362895]]",172,mulanje_4
"[[35.323283766546524, -15.998976725303706], [35.33263956678688, -15.998976725303706], [35.33263956678688, -16.007969941362894], [35.323283766546524, -16.007969941362894]]",510,mulanje_5
"[[35.324068947772055, -16.062270058637107], [35.33342771889455, -16.062270058637107], [35.33342771889455, -16.071263274696296], [35.324068947772055, -16.071263274696296]]",331,mulanje_6
"[[35.489072944792056, -15.891310058637107], [35.498423721874545, -15.891310058637107], [35.498423721874545, -15.900303274696295], [35.489072944792056, -15.900303274696295]]",585,mulanje_7
"[[35.69643984149271, -16.024223391970406], [35.705796825173884, -16.024223391970406], [35.705796825173884, -16.033216608029594], [35.69643984149271, -16.033216608029594]]",443,mulanje_8
"[[35.810855108694774, -16.012828391970405], [35.820211557971824, -16.012828391970405], [35.820211557971824, -16.021821608029594], [35.810855108694774, -16.021821608029594]]",98,mulanje_9
"[[35.44898345468532, -16.012288391970404], [35.458339878648076, -16.012288391970404], [35.458339878648076, -16.021281608029593], [35.44898345468532, -16.021281608029593]]",435,mulanje_10
"[[35.337961330454064, -16.102628391970406], [35.34732200287934, -16.102628391970406], [35.34732200287934, -16.111621608029594], [35.337961330454064, -16.111621608029594]]",281,mulanje_11
"[[35.604865691620255, -16.058988391970406], [35.61422430837974, -16.058988391970406], [35.61422430837974, -16.067981608029594], [35.604865691620255, -16.067981608029594]]",354,mulanje_12
"[[35.4974298270654, -16.024838391970405], [35.50678683960119, -16.024838391970405], [35.50678683960119, -16.033831608029594], [35.4974298270654, -16.033831608029594]]",1526,mulanje_13
"[[35.44326677355154, -16.083831725303707], [35.45262655978186, -16.083831725303707], [35.45262655978186, -16.092824941362895], [35.44326677355154, -16.092824941362895]]",239,mulanje_14
"[[35.460462236292464, -15.993150058637106], [35.46981776370753, -15.993150058637106], [35.46981776370753, -16.002143274696294], [35.460462236292464, -16.002143274696294]]",797,mulanje_15
"[[35.34172646109907, -15.811488391970405], [35.351073538900934, -15.811488391970405], [35.351073538900934, -15.820481608029594], [35.34172646109907, -15.820481608029594]]",175,mulanje_16
"[[35.49701295042775, -15.746883391970405], [35.50635704957225, -15.746883391970405], [35.50635704957225, -15.755876608029594], [35.49701295042775, -15.755876608029594]]",425,mulanje_17
"[[33.8429731797737, -12.646216725303706], [33.8521901535597, -12.646216725303706], [33.8521901535597, -12.655209941362894], [33.8429731797737, -12.655209941362894]]",90,mzimba_1
"[[33.45211404059787, -12.125378391970406], [33.461312626068725, -12.125378391970406], [33.461312626068725, -12.134371608029594], [33.45211404059787, -12.134371608029594]]",268,mzimba_2
"[[33.43578679323585, -11.256281725303706], [33.44495654009755, -11.256281725303706], [33.44495654009755, -11.265274941362895], [33.43578679323585, -11.265274941362895]]",99,mzimba_3
"[[33.40268880667917, -11.746161725303706], [33.41187452665422, -11.746161725303706], [33.41187452665422, -11.755154941362894], [33.40268880667917, -11.755154941362894]]",87,mzimba_4
"[[33.86935353084177, -11.251828391970406], [33.87852313582483, -11.251828391970406], [33.87852313582483, -11.260821608029595], [33.86935353084177, -11.260821608029595]]",173,mzimba_5
"[[33.44459436783396, -12.202748391970406], [33.45379563216605, -12.202748391970406], [33.45379563216605, -12.211741608029595], [33.44459436783396, -12.211741608029595]]",67,mzimba_6
"[[33.57129675630739, -11.868445058637105], [33.58048657702601, -11.868445058637105], [33.58048657702601, -11.877438274696294], [33.57129675630739, -11.877438274696294]]",175,mzimba_7
"[[33.31889987300696, -12.173630058637105], [33.32810012699304, -12.173630058637105], [33.32810012699304, -12.182623274696294], [33.31889987300696, -12.182623274696294]]",186,mzimba_8
"[[33.6655829314623, -11.995715058637106], [33.6747770685377, -11.995715058637106], [33.6747770685377, -12.004708274696295], [33.6655829314623, -12.004708274696295]]",130,mzimba_9
"[[33.946812895991734, -10.974096725303706], [33.955973770674866, -10.974096725303706], [33.955973770674866, -10.983089941362895], [33.946812895991734, -10.983089941362895]]",101,mzimba_10
"[[33.43428524834579, -11.352803391970406], [33.44345808498761, -11.352803391970406], [33.44345808498761, -11.361796608029595], [33.43428524834579, -11.361796608029595]]",77,mzimba_11
"[[33.887029498486726, -12.479670058637106], [33.896240501513276, -12.479670058637106], [33.896240501513276, -12.488663274696295], [33.887029498486726, -12.488663274696295]]",76,mzimba_12
"[[33.616573363308326, -12.260428391970406], [33.625776636691675, -12.260428391970406], [33.625776636691675, -12.269421608029594], [33.616573363308326, -12.269421608029594]]",38,mzimba_13
"[[33.66767151049981, -11.480850058637106], [33.676848489500195, -11.480850058637106], [33.676848489500195, -11.489843274696295], [33.66767151049981, -11.489843274696295]]",107,mzimba_14
"[[33.74417599128157, -12.395483391970405], [33.75338400871842, -12.395483391970405], [33.75338400871842, -12.404476608029594], [33.74417599128157, -12.404476608029594]]",84,mzimba_15
"[[33.51982516648689, -11.357893391970405], [33.52899816684651, -11.357893391970405], [33.52899816684651, -11.366886608029594], [33.51982516648689, -11.366886608029594]]",121,mzimba_16
"[[33.31922453045262, -11.500091725303706], [33.328402136213974, -11.500091725303706], [33.328402136213974, -11.509084941362895], [33.31922453045262, -11.509084941362895]]",184,mzimba_17
"[[33.257353265468964, -11.577415058637106], [33.266533401197634, -11.577415058637106], [33.266533401197634, -11.586408274696295], [33.257353265468964, -11.586408274696295]]",56,mzimba_18
"[[33.75452011514917, -12.631323391970406], [33.76373655151743, -12.631323391970406], [33.76373655151743, -12.640316608029595], [33.75452011514917, -12.640316608029595]]",126,mzimba_19
"[[33.92344852734899, -11.040640058637106], [33.93261147265101, -11.040640058637106], [33.93261147265101, -11.049633274696294], [33.92344852734899, -11.049633274696294]]",385,mzimba_20
"[[33.985639631271944, -11.391113391970405], [33.99481370206146, -11.391113391970405], [33.99481370206146, -11.400106608029594], [33.985639631271944, -11.400106608029594]]",1881,mzuzu_city_1
"[[33.99281060767517, -11.433805058637105], [34.001986058991434, -11.433805058637105], [34.001986058991434, -11.442798274696294], [33.99281060767517, -11.442798274696294]]",2957,mzuzu_city_2
"[[33.98945763535248, -11.411498391970406], [33.99863236464752, -11.411498391970406], [33.99863236464752, -11.420491608029595], [33.98945763535248, -11.420491608029595]]",1452,mzuzu_city_3
"[[34.021895723364594, -11.426661725303706], [34.03107094330201, -11.426661725303706], [34.03107094330201, -11.435654941362895], [34.021895723364594, -11.435654941362895]]",3086,mzuzu_city_4
"[[34.955294332219815, -15.317900058637106], [34.96461900111358, -15.317900058637106], [34.96461900111358, -15.326893274696294], [34.955294332219815, -15.326893274696294]]",73,neno_1
"[[34.65417758613803, -15.690141725303706], [34.66351908052857, -15.690141725303706], [34.66351908052857, -15.699134941362894], [34.65417758613803, -15.699134941362894]]",69,neno_2
"[[34.853814894284326, -15.441636725303706], [34.863145105715674, -15.441636725303706], [34.863145105715674, -15.450629941362894], [34.853814894284326, -15.450629941362894]]",1450,neno_3
"[[34.64024882533508, -15.489068391970406], [34.64958117466492, -15.489068391970406], [34.64958117466492, -15.498061608029595], [34.64024882533508, -15.498061608029595]]",314,neno_4
"[[34.29962603761996, -11.611541725303706], [34.308807295713436, -11.611541725303706], [34.308807295713436, -11.620534941362894], [34.29962603761996, -11.620534941362894]]",364,nkhata_bay_1
"[[34.26601863001726, -11.555188391970406], [34.27519803664934, -11.555188391970406], [34.27519803664934, -11.564181608029594], [34.26601863001726, -11.564181608029594]]",88,nkhatabay_1
"[[34.25983065713906, -12.876000058637105], [34.26905600952753, -12.876000058637105], [34.26905600952753, -12.884993274696294], [34.25983065713906, -12.884993274696294]]",190,nkhotakota_1
"[[34.10400432326222, -12.489511725303705], [34.11321567673778, -12.489511725303705], [34.11321567673778, -12.498504941362894], [34.10400432326222, -12.498504941362894]]",1619,nkhotakota_2
"[[34.267972878970305, -12.936223391970406], [34.27720045436309, -12.936223391970406], [34.27720045436309, -12.945216608029595], [34.267972878970305, -12.945216608029595]]",573,nkhotakota_3
"[[34.24198959197284, -12.843281725303706], [34.25121374136056, -12.843281725303706], [34.25121374136056, -12.852274941362895], [34.24198959197284, -12.852274941362895]]",443,nkhotakota_4
"[[34.31244890602177, -13.237205058637105], [34.321687760644835, -13.237205058637105], [34.321687760644835, -13.246198274696294], [34.31244890602177, -13.246198274696294]]",131,nkhotakota_5
"[[34.23533833322884, -13.090818391970405], [34.244571666771165, -13.090818391970405], [34.244571666771165, -13.099811608029594], [34.23533833322884, -13.099811608029594]]",115,nkhotakota_6
"[[34.177105892472, -12.680543391970406], [34.186324107527994, -12.680543391970406], [34.186324107527994, -12.689536608029595], [34.177105892472, -12.689536608029595]]",117,nkhotakota_7
"[[34.09580475039475, -13.280470058637105], [34.105045249605254, -13.280470058637105], [34.105045249605254, -13.289463274696294], [34.09580475039475, -13.289463274696294]]",216,nkhotakota_8
"[[34.12050304441005, -13.369743391970406], [34.129746955589944, -13.369743391970406], [34.129746955589944, -13.378736608029595], [34.12050304441005, -13.378736608029595]]",147,nkhotakota_9
"[[34.11685543999508, -12.520345058637107], [34.126067893338316, -12.520345058637107], [34.126067893338316, -12.529338274696295], [34.11685543999508, -12.529338274696295]]",334,nkhotakota_10
"[[34.281467177848505, -13.414841725303706], [34.2907128221515, -13.414841725303706], [34.2907128221515, -13.423834941362895], [34.281467177848505, -13.423834941362895]]",218,nkhotakota_11
"[[34.08964691081622, -12.437695058637106], [34.09885642251718, -12.437695058637106], [34.09885642251718, -12.446688274696294], [34.08964691081622, -12.446688274696294]]",158,nkhotakota_12
"[[35.219995584701934, -16.956233391970407], [35.22939774863147, -16.956233391970407], [35.22939774863147, -16.965226608029596], [35.219995584701934, -16.965226608029596]]",753,nsanje_1
"[[35.20967313196051, -16.987613391970406], [35.21907686803949, -16.987613391970406], [35.21907686803949, -16.996606608029595], [35.20967313196051, -16.996606608029595]]",985,nsanje_2
"[[34.87021037635946, -14.890631725303706], [34.879516290307144, -14.890631725303706], [34.879516290307144, -14.899624941362895], [34.87021037635946, -14.899624941362895]]",525,ntcheu_1
"[[34.50463186623359, -14.507546725303706], [34.51392146709981, -14.507546725303706], [34.51392146709981, -14.516539941362895], [34.50463186623359, -14.516539941362895]]",736,ntcheu_2
"[[34.61435471728957, -15.074195058637105], [34.62366861604383, -15.074195058637105], [34.62366861604383, -15.083188274696294], [34.61435471728957, -15.083188274696294]]",801,ntcheu_3
"[[34.82620554414932, -14.649211725303706], [34.835501122517286, -14.649211725303706], [34.835501122517286, -14.658204941362895], [34.82620554414932, -14.658204941362895]]",224,ntcheu_4
"[[34.741457649333555, -14.549586725303707], [34.75074901733305, -14.549586725303707], [34.75074901733305, -14.558579941362895], [34.741457649333555, -14.558579941362895]]",122,ntcheu_5
"[[34.80000901667952, -14.721028391970405], [34.80930764998708, -14.721028391970405], [34.80930764998708, -14.730021608029594], [34.80000901667952, -14.730021608029594]]",411,ntcheu_6
"[[34.6499369999234, -14.815256725303705], [34.659239666743204, -14.815256725303705], [34.659239666743204, -14.824249941362893], [34.6499369999234, -14.824249941362893]]",717,ntcheu_7
"[[34.656934225783004, -14.711220058637105], [34.66623244088359, -14.711220058637105], [34.66623244088359, -14.720213274696293], [34.656934225783004, -14.720213274696293]]",249,ntcheu_8
"[[34.46011408553899, -14.481183391970406], [34.46940258112761, -14.481183391970406], [34.46940258112761, -14.490176608029595], [34.46011408553899, -14.490176608029595]]",778,ntcheu_9
"[[34.913538741577455, -14.811765058637105], [34.92284125842255, -14.811765058637105], [34.92284125842255, -14.820758274696294], [34.913538741577455, -14.820758274696294]]",175,ntcheu_10
"[[34.57832356381484, -14.897383391970406], [34.587629769518564, -14.897383391970406], [34.587629769518564, -14.906376608029595], [34.57832356381484, -14.906376608029595]]",1427,ntcheu_11
"[[33.75743924489944, -13.219330058637105], [33.76667742176716, -13.219330058637105], [33.76667742176716, -13.228323274696294], [33.75743924489944, -13.228323274696294]]",331,ntchisi_1
"[[33.87498329982426, -13.269115058637105], [33.88422336684234, -13.269115058637105], [33.88422336684234, -13.278108274696294], [33.87498329982426, -13.278108274696294]]",340,ntchisi_2
"[[33.75635631611055, -13.197956725303706], [33.765593683889456, -13.197956725303706], [33.765593683889456, -13.206949941362895], [33.75635631611055, -13.206949941362895]]",118,ntchisi_3
"[[33.89317656562806, -13.359943391970406], [33.90242010103854, -13.359943391970406], [33.90242010103854, -13.368936608029594], [33.89317656562806, -13.368936608029594]]",540,ntchisi_4
"[[33.81692173461254, -13.437845058637105], [33.82616826538746, -13.437845058637105], [33.82616826538746, -13.446838274696294], [33.81692173461254, -13.446838274696294]]",162,ntchisi_5
"[[33.91949598820998, -13.126955058637106], [33.928730678456624, -13.126955058637106], [33.928730678456624, -13.135948274696295], [33.91949598820998, -13.135948274696295]]",226,ntchisi_6
"[[35.68482364938673, -15.716460058637105], [35.69416635061327, -15.716460058637105], [35.69416635061327, -15.725453274696294], [35.68482364938673, -15.725453274696294]]",824,phalombe_1
"[[35.755415746387534, -15.770228391970406], [35.764760920279066, -15.770228391970406], [35.764760920279066, -15.779221608029594], [35.755415746387534, -15.779221608029594]]",751,phalombe_2
"[[35.53773711950714, -15.710498391970406], [35.547079547159456, -15.710498391970406], [35.547079547159456, -15.719491608029594], [35.53773711950714, -15.719491608029594]]",170,phalombe_3
"[[35.709288276614345, -15.659965058637106], [35.71862839005226, -15.659965058637106], [35.71862839005226, -15.668958274696294], [35.709288276614345, -15.668958274696294]]",266,phalombe_4
"[[35.75796185124222, -15.794593391970405], [35.767308148757785, -15.794593391970405], [35.767308148757785, -15.803586608029594], [35.75796185124222, -15.803586608029594]]",461,phalombe_5
"[[35.734681843833684, -15.649728391970406], [35.744021489499715, -15.649728391970406], [35.744021489499715, -15.658721608029595], [35.734681843833684, -15.658721608029595]]",176,phalombe_6
"[[35.73611073273294, -15.698291725303706], [35.74545260060046, -15.698291725303706], [35.74545260060046, -15.707284941362895], [35.73611073273294, -15.707284941362895]]",393,phalombe_7
"[[33.86348567764666, -11.009608391970406], [33.87264765568674, -11.009608391970406], [33.87264765568674, -11.018601608029595], [33.86348567764666, -11.018601608029595]]",448,rumphi_1
"[[33.530538968174575, -10.795960058637105], [33.53969436515883, -10.795960058637105], [33.53969436515883, -10.804953274696294], [33.530538968174575, -10.804953274696294]]",298,rumphi_2
"[[34.06337385577779, -10.803331725303705], [34.07252947755561, -10.803331725303705], [34.07252947755561, -10.812324941362894], [34.06337385577779, -10.812324941362894]]",65,rumphi_3
"[[34.188632792396724, -10.653406725303705], [34.19778387426988, -10.653406725303705], [34.19778387426988, -10.662399941362894], [34.188632792396724, -10.662399941362894]]",178,rumphi_4
"[[33.52199667975613, -10.836671725303706], [33.531153320243874, -10.836671725303706], [33.531153320243874, -10.845664941362894], [33.52199667975613, -10.845664941362894]]",128,rumphi_5
"[[33.766935705655435, -11.007808391970405], [33.77609762767796, -11.007808391970405], [33.77609762767796, -11.016801608029594], [33.766935705655435, -11.016801608029594]]",276,rumphi_6
"[[34.46623476584051, -13.794003391970406], [34.475495234159496, -13.794003391970406], [34.475495234159496, -13.802996608029595], [34.46623476584051, -13.802996608029595]]",1288,salima_1
"[[34.50611258182997, -14.068976725303706], [34.515384084836626, -14.068976725303706], [34.515384084836626, -14.077969941362895], [34.50611258182997, -14.077969941362895]]",301,salima_2
"[[34.53702884979512, -14.088618391970405], [34.54630115020488, -14.088618391970405], [34.54630115020488, -14.097611608029593], [34.53702884979512, -14.097611608029593]]",1087,salima_3
"[[34.465685145296085, -13.774870058637106], [34.474944854703914, -13.774870058637106], [34.474944854703914, -13.783863274696294], [34.465685145296085, -13.783863274696294]]",922,salima_4
"[[34.50974521920271, -13.771140058637105], [34.51900478079729, -13.771140058637105], [34.51900478079729, -13.780133274696293], [34.50974521920271, -13.780133274696293]]",562,salima_5
"[[35.219944238920625, -16.261063391970406], [35.229312427745974, -16.261063391970406], [35.229312427745974, -16.270056608029595], [35.219944238920625, -16.270056608029595]]",308,thyolo_1
"[[35.13101568329871, -16.130036725303707], [35.140377650034694, -16.130036725303707], [35.140377650034694, -16.139029941362896], [35.13101568329871, -16.139029941362896]]",256,thyolo_2
"[[35.225846159852104, -16.039063391970405], [35.235203840147896, -16.039063391970405], [35.235203840147896, -16.048056608029594], [35.225846159852104, -16.048056608029594]]",419,thyolo_3
"[[35.2303261213326, -16.181926725303704], [35.23969054533399, -16.181926725303704], [35.23969054533399, -16.190919941362893], [35.2303261213326, -16.190919941362893]]",179,thyolo_4
"[[35.007232029310224, -16.001990058637105], [35.01658797068978, -16.001990058637105], [35.01658797068978, -16.010983274696294], [35.007232029310224, -16.010983274696294]]",394,thyolo_5
"[[35.07641742194072, -15.913791725303705], [35.08576924472588, -15.913791725303705], [35.08576924472588, -15.922784941362893], [35.07641742194072, -15.922784941362893]]",788,thyolo_6
"[[35.062075780421516, -16.055211725303707], [35.071434219578485, -16.055211725303707], [35.071434219578485, -16.064204941362895], [35.062075780421516, -16.064204941362895]]",634,thyolo_7
"[[35.02265575663622, -16.126933391970407], [35.03201757669718, -16.126933391970407], [35.03201757669718, -16.135926608029596], [35.02265575663622, -16.135926608029596]]",215,thyolo_8
"[[35.215870673302256, -15.988720058637107], [35.22522599336434, -15.988720058637107], [35.22522599336434, -15.997713274696295], [35.215870673302256, -15.997713274696295]]",741,thyolo_9
"[[35.04433397504256, -15.918670058637106], [35.05368602495744, -15.918670058637106], [35.05368602495744, -15.927663274696295], [35.04433397504256, -15.927663274696295]]",496,thyolo_10
"[[34.98608890670425, -15.992990058637107], [34.99544442662915, -15.992990058637107], [34.99544442662915, -16.001983274696293], [34.98608890670425, -16.001983274696293]]",257,thyolo_11
"[[35.13916890303857, -16.064171725303705], [35.14852776362803, -16.064171725303705], [35.14852776362803, -16.073164941362894], [35.13916890303857, -16.073164941362894]]",953,thyolo_12
"[[35.20519977304448, -16.308465058637104], [35.21457022695552, -16.308465058637104], [35.21457022695552, -16.317458274696293], [35.20519977304448, -16.317458274696293]]",178,thyolo_13
"[[35.08282053135319, -15.994785058637106], [35.09217613531341, -15.994785058637106], [35.09217613531341, -16.003778274696295], [35.08282053135319, -16.003778274696295]]",2,thyolo_14
"[[35.186946882546245, -16.359511725303705], [35.196319784120355, -16.359511725303705], [35.196319784120355, -16.368504941362893], [35.186946882546245, -16.368504941362893]]",420,thyolo_15
"[[35.58068652450023, -15.368983391970406], [35.59001347549977, -15.368983391970406], [35.59001347549977, -15.377976608029595], [35.58068652450023, -15.377976608029595]]",531,zomba_1
"[[35.486215778315156, -15.476380058637107], [35.49554755501825, -15.476380058637107], [35.49554755501825, -15.485373274696295], [35.486215778315156, -15.485373274696295]]",151,zomba_2
"[[35.15505395095371, -15.334990058637105], [35.164379382379686, -15.334990058637105], [35.164379382379686, -15.343983274696294], [35.15505395095371, -15.343983274696294]]",274,zomba_3
"[[35.294201672917204, -15.584083391970406], [35.3035383270828, -15.584083391970406], [35.3035383270828, -15.593076608029595], [35.294201672917204, -15.593076608029595]]",187,zomba_4
"[[35.15256861059452, -15.350228391970406], [35.161894722738886, -15.350228391970406], [35.161894722738886, -15.359221608029594], [35.15256861059452, -15.359221608029594]]",121,zomba_5
"[[35.17721062171603, -15.409265058637105], [35.18653937828397, -15.409265058637105], [35.18653937828397, -15.418258274696294], [35.17721062171603, -15.418258274696294]]",168,zomba_6
"[[35.25027616018001, -15.385253391970405], [35.25960383981999, -15.385253391970405], [35.25960383981999, -15.394246608029594], [35.25027616018001, -15.394246608029594]]",229,zomba_7
"[[35.197680718641735, -15.552708391970405], [35.20701594802486, -15.552708391970405], [35.20701594802486, -15.561701608029594], [35.197680718641735, -15.561701608029594]]",305,zomba_8
"[[35.36583853240314, -15.353726725303705], [35.37516480093026, -15.353726725303705], [35.37516480093026, -15.362719941362894], [35.36583853240314, -15.362719941362894]]",388,zomba_9
"[[35.367426002920716, -15.242758391970405], [35.37674733041269, -15.242758391970405], [35.37674733041269, -15.251751608029593], [35.367426002920716, -15.251751608029593]]",480,zomba_10
"[[35.11194850406166, -15.795193391970406], [35.12129482927175, -15.795193391970406], [35.12129482927175, -15.804186608029594], [35.11194850406166, -15.804186608029594]]",252,zomba_city_1
"[[35.308368997167754, -15.407388391970406], [35.31769766949885, -15.407388391970406], [35.31769766949885, -15.416381608029594], [35.308368997167754, -15.416381608029594]]",2024,zomba_city_2
"[[35.29997393095769, -15.410338391970406], [35.30930273570891, -15.410338391970406], [35.30930273570891, -15.419331608029594], [35.29997393095769, -15.419331608029594]]",1841,zomba_city_3
"[[35.304648955984526, -15.409223391970405], [35.313977710682074, -15.409223391970405], [35.313977710682074, -15.418216608029594], [35.304648955984526, -15.418216608029594]]",2194,zomba_city_4
